IControl prefs:  border width: 18, border height: 18
IControl prefs:  title height: 16, Window height: 18
IControl prefs:  volume guage width: 19
screen width: 1024
Screen height: 768
entry Processing directory: PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T
Formatting actual folder - not a slove folder
screen width: 1024
windowWidth: 320
Dumping Icon Array of 267 icons, max width is 166px
Icon 23: Width = 42, Height = 42, Text Width = 85, Text Height = 13, Max Width = 85, Max Height = 57, x = 578, y = 3226, Text = Turrican2Demo.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Turrican2Demo.info
Icon 24: Width = 42, Height = 42, Text Width = 87, Text Height = 13, Max Width = 87, Max Height = 57, x = 401, y = 3226, Text = Turrican2CDTV.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Turrican2CDTV.info
Icon 25: Width = 42, Height = 42, Text Width = 53, Text Height = 13, Max Width = 53, Max Height = 57, x = 242, y = 3226, Text = Turrican2.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Turrican2.info
Icon 26: Width = 42, Height = 42, Text Width = 46, Text Height = 13, Max Width = 46, Max Height = 57, x = 70, y = 3226, Text = Turrican.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Turrican.info
Icon 27: Width = 42, Height = 42, Text Width = 60, Text Height = 13, Max Width = 60, Max Height = 57, x = 767, y = 3159, Text = TurnNBurn.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurnNBurn.info
Icon 28: Width = 42, Height = 42, Text Width = 134, Text Height = 13, Max Width = 134, Max Height = 57, x = 554, y = 3159, Text = TurboTraxArcane512KB.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurboTraxArcane512KB.info
Icon 29: Width = 42, Height = 42, Text Width = 123, Text Height = 13, Max Width = 123, Max Height = 57, x = 383, y = 3159, Text = TurboTraxArcane1MB.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurboTraxArcane1MB.info
Icon 30: Width = 42, Height = 42, Text Width = 87, Text Height = 13, Max Width = 87, Max Height = 57, x = 225, y = 3159, Text = TurboRaketti2Fi.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurboRaketti2Fi.info
Icon 31: Width = 42, Height = 42, Text Width = 76, Text Height = 13, Max Width = 76, Max Height = 57, x = 55, y = 3159, Text = TurboRaketti2.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurboRaketti2.info
Icon 32: Width = 42, Height = 42, Text Width = 107, Text Height = 13, Max Width = 107, Max Height = 57, x = 743, y = 3092, Text = TurboOutRunNTSC.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurboOutRunNTSC.info
