[17:46:40][INFO] Memory tracking initialized
[17:46:48][DEBUG] ALLOC: 12 bytes at 0x00070414 (src\icon_management.c:515) [Current: 790, Peak: 997]
[17:46:48][DEBUG] ALLOC: 9 bytes at 0x0007043c (src\icon_management.c:532) [Current: 799, Peak: 997]
[17:46:48][DEBUG] ALLOC: 11 bytes at 0x00070464 (src\icon_types.c:221) [Current: 810, Peak: 997]
[17:46:48][DEBUG] FREE: 11 bytes at 0x00070464 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 799]
[17:46:48][DEBUG] ALLOC: 6 bytes at 0x00070464 (src\icon_types.c:276) [Current: 805, Peak: 997]
[17:46:48][DEBUG] FREE: 6 bytes at 0x00070464 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 799]
[17:46:48][DEBUG] ALLOC: 11 bytes at 0x00070464 (src\icon_management.c:515) [Current: 810, Peak: 997]
[17:46:48][DEBUG] ALLOC: 8 bytes at 0x0007048c (src\icon_management.c:532) [Current: 818, Peak: 997]
[17:46:48][DEBUG] ALLOC: 20 bytes at 0x000704b4 (src\icon_types.c:221) [Current: 838, Peak: 997]
[17:46:48][DEBUG] FREE: 20 bytes at 0x000704b4 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 818]
[17:46:48][DEBUG] ALLOC: 15 bytes at 0x000704b4 (src\icon_types.c:276) [Current: 833, Peak: 997]
[17:46:48][DEBUG] FREE: 15 bytes at 0x000704b4 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 818]
[17:46:48][DEBUG] ALLOC: 20 bytes at 0x000704b4 (src\icon_management.c:515) [Current: 838, Peak: 997]
[17:46:48][DEBUG] ALLOC: 17 bytes at 0x0007073c (src\icon_management.c:532) [Current: 855, Peak: 997]
[17:46:48][DEBUG] ALLOC: 1088 bytes at 0x0007076c (src\icon_management.c:81) [Current: 1943, Peak: 1943]
[17:46:48][DEBUG] FREE: 544 bytes at 0x000704fc (allocated src\icon_management.c:81, freed src\icon_management.c:93) [Current: 1399]
[17:46:48][DEBUG] ALLOC: 22 bytes at 0x000704fc (src\icon_types.c:221) [Current: 1421, Peak: 1943]
[17:46:48][DEBUG] FREE: 22 bytes at 0x000704fc (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 1399]
[17:46:48][DEBUG] ALLOC: 17 bytes at 0x000704fc (src\icon_types.c:276) [Current: 1416, Peak: 1943]
[17:46:48][DEBUG] FREE: 17 bytes at 0x000704fc (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 1399]
[17:46:48][DEBUG] ALLOC: 22 bytes at 0x000704fc (src\icon_management.c:515) [Current: 1421, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 19 bytes at 0x00070534 (src\icon_management.c:532) [Current: 1440, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 16 bytes at 0x00070564 (src\icon_types.c:221) [Current: 1456, Peak: 1943]
[17:46:48][DEBUG] FREE: 16 bytes at 0x00070564 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 1440]
[17:46:48][DEBUG] ALLOC: 11 bytes at 0x00070564 (src\icon_types.c:276) [Current: 1451, Peak: 1943]
[17:46:48][DEBUG] FREE: 11 bytes at 0x00070564 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 1440]
[17:46:48][DEBUG] ALLOC: 16 bytes at 0x00070564 (src\icon_management.c:515) [Current: 1456, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 13 bytes at 0x00070594 (src\icon_management.c:532) [Current: 1469, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 28 bytes at 0x000705c4 (src\icon_types.c:221) [Current: 1497, Peak: 1943]
[17:46:48][DEBUG] FREE: 28 bytes at 0x000705c4 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 1469]
[17:46:48][DEBUG] ALLOC: 23 bytes at 0x000705c4 (src\icon_types.c:276) [Current: 1492, Peak: 1943]
[17:46:48][DEBUG] FREE: 23 bytes at 0x000705c4 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 1469]
[17:46:48][DEBUG] ALLOC: 28 bytes at 0x000705c4 (src\icon_management.c:515) [Current: 1497, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 25 bytes at 0x000705fc (src\icon_management.c:532) [Current: 1522, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 19 bytes at 0x00070634 (src\icon_types.c:221) [Current: 1541, Peak: 1943]
[17:46:48][DEBUG] FREE: 19 bytes at 0x00070634 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 1522]
[17:46:48][DEBUG] ALLOC: 14 bytes at 0x00070634 (src\icon_types.c:276) [Current: 1536, Peak: 1943]
[17:46:48][DEBUG] FREE: 14 bytes at 0x00070634 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 1522]
[17:46:48][DEBUG] ALLOC: 19 bytes at 0x00070634 (src\icon_management.c:515) [Current: 1541, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 16 bytes at 0x00070664 (src\icon_management.c:532) [Current: 1557, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 19 bytes at 0x00070694 (src\icon_types.c:221) [Current: 1576, Peak: 1943]
[17:46:48][DEBUG] FREE: 19 bytes at 0x00070694 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 1557]
[17:46:48][DEBUG] ALLOC: 14 bytes at 0x00070694 (src\icon_types.c:276) [Current: 1571, Peak: 1943]
[17:46:48][DEBUG] FREE: 14 bytes at 0x00070694 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 1557]
[17:46:48][DEBUG] ALLOC: 19 bytes at 0x00070694 (src\icon_management.c:515) [Current: 1576, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 16 bytes at 0x000706c4 (src\icon_management.c:532) [Current: 1592, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 22 bytes at 0x000706f4 (src\icon_types.c:221) [Current: 1614, Peak: 1943]
[17:46:48][DEBUG] FREE: 22 bytes at 0x000706f4 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 1592]
[17:46:48][DEBUG] ALLOC: 17 bytes at 0x000706f4 (src\icon_types.c:276) [Current: 1609, Peak: 1943]
[17:46:48][DEBUG] FREE: 17 bytes at 0x000706f4 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 1592]
[17:46:48][DEBUG] ALLOC: 22 bytes at 0x000706f4 (src\icon_management.c:515) [Current: 1614, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 19 bytes at 0x00070bcc (src\icon_management.c:532) [Current: 1633, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 17 bytes at 0x00070bfc (src\icon_types.c:221) [Current: 1650, Peak: 1943]
[17:46:48][DEBUG] FREE: 17 bytes at 0x00070bfc (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 1633]
[17:46:48][DEBUG] ALLOC: 12 bytes at 0x0007072c (src\icon_types.c:276) [Current: 1645, Peak: 1943]
[17:46:48][DEBUG] FREE: 12 bytes at 0x0007072c (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 1633]
[17:46:48][DEBUG] ALLOC: 17 bytes at 0x00070bfc (src\icon_management.c:515) [Current: 1650, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 14 bytes at 0x00070c2c (src\icon_management.c:532) [Current: 1664, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 17 bytes at 0x00070c5c (src\icon_types.c:221) [Current: 1681, Peak: 1943]
[17:46:48][DEBUG] FREE: 17 bytes at 0x00070c5c (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 1664]
[17:46:48][DEBUG] ALLOC: 12 bytes at 0x0007072c (src\icon_types.c:276) [Current: 1676, Peak: 1943]
[17:46:48][DEBUG] FREE: 12 bytes at 0x0007072c (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 1664]
[17:46:48][DEBUG] ALLOC: 17 bytes at 0x00070c5c (src\icon_management.c:515) [Current: 1681, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 14 bytes at 0x00070c8c (src\icon_management.c:532) [Current: 1695, Peak: 1943]
[17:46:48][DEBUG] ALLOC: 2176 bytes at 0x00070cbc (src\icon_management.c:81) [Current: 3871, Peak: 3871]
[17:46:48][DEBUG] FREE: 1088 bytes at 0x0007076c (allocated src\icon_management.c:81, freed src\icon_management.c:93) [Current: 2783]
[17:46:48][DEBUG] ALLOC: 14 bytes at 0x0007076c (src\icon_types.c:221) [Current: 2797, Peak: 3871]
