[14:34:27][DEBUG] ALLOC: 60 bytes at 0x40941f74 (src\icon_management.c:617) [Current: 78, Peak: 631] 
[14:34:27][DEBUG] ALLOC: 11 bytes at 0x409420fc (src\icon_management.c:643) [Current: 89, Peak: 631] 
[14:34:27][DEBUG] ALLOC: 72 bytes at 0x40942254 (src\icon_management.c:92) [Current: 161, Peak: 631] 
[14:34:27][DEBUG] ALLOC: 62 bytes at 0x409423ec (src\icon_types.c:714) [Current: 223, Peak: 631] 
[14:34:27][DEBUG] FREE: 62 bytes at 0x409423ec (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 161] 
[14:34:27][DEBUG] ALLOC: 62 bytes at 0x409423ec (src\icon_management.c:617) [Current: 223, Peak: 631] 
[14:34:27][DEBUG] ALLOC: 13 bytes at 0x4094257c (src\icon_management.c:643) [Current: 236, Peak: 631] 
[14:34:27][DEBUG] ALLOC: 144 bytes at 0x409426dc (src\icon_management.c:92) [Current: 380, Peak: 631] 
[14:34:27][DEBUG] FREE: 72 bytes at 0x40942254 (allocated src\icon_management.c:92, freed src\icon_management.c:104) [Current: 308] 
[14:34:27][DEBUG] ALLOC: 63 bytes at 0x40942254 (src\icon_types.c:714) [Current: 371, Peak: 631] 
[14:34:27][DEBUG] FREE: 63 bytes at 0x40942254 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 308] 
[14:34:27][DEBUG] ALLOC: 63 bytes at 0x40942254 (src\icon_management.c:617) [Current: 371, Peak: 631] 
[14:34:27][DEBUG] ALLOC: 14 bytes at 0x409428bc (src\icon_management.c:643) [Current: 385, Peak: 631] 
[14:34:27][DEBUG] ALLOC: 288 bytes at 0x40942a1c (src\icon_management.c:92) [Current: 673, Peak: 673] 
[14:34:27][DEBUG] FREE: 144 bytes at 0x409426dc (allocated src\icon_management.c:92, freed src\icon_management.c:104) [Current: 529] 
[14:34:27][DEBUG] ALLOC: 59 bytes at 0x409426dc (src\icon_types.c:714) [Current: 588, Peak: 673] 
[14:34:27][DEBUG] FREE: 59 bytes at 0x409426dc (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 529] 
[14:34:27][DEBUG] ALLOC: 59 bytes at 0x409426dc (src\icon_management.c:617) [Current: 588, Peak: 673] 
[14:34:27][DEBUG] ALLOC: 10 bytes at 0x40942c8c (src\icon_management.c:643) [Current: 598, Peak: 673] 
[14:34:27][DEBUG] ALLOC: 60 bytes at 0x40942de4 (src\icon_types.c:714) [Current: 658, Peak: 673] 
[14:34:27][DEBUG] FREE: 60 bytes at 0x40942de4 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 598] 
[14:34:27][DEBUG] ALLOC: 60 bytes at 0x40942de4 (src\icon_management.c:617) [Current: 658, Peak: 673] 
[14:34:27][DEBUG] ALLOC: 11 bytes at 0x40942f6c (src\icon_management.c:643) [Current: 669, Peak: 673] 
[14:34:27][DEBUG] ALLOC: 576 bytes at 0x409430c4 (src\icon_management.c:92) [Current: 1245, Peak: 1245] 
[14:34:27][DEBUG] FREE: 288 bytes at 0x40942a1c (allocated src\icon_management.c:92, freed src\icon_management.c:104) [Current: 957] 
[14:34:27][DEBUG] ALLOC: 74 bytes at 0x40942a1c (src\icon_types.c:714) [Current: 1031, Peak: 1245] 
[14:34:27][DEBUG] FREE: 74 bytes at 0x40942a1c (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 957] 
[14:34:27][DEBUG] ALLOC: 74 bytes at 0x40942a1c (src\icon_management.c:617) [Current: 1031, Peak: 1245] 
[14:34:27][DEBUG] ALLOC: 25 bytes at 0x40942bb4 (src\icon_management.c:643) [Current: 1056, Peak: 1245] 
[14:34:27][DEBUG] ALLOC: 71 bytes at 0x40943504 (src\icon_types.c:714) [Current: 1127, Peak: 1245] 
[14:34:27][DEBUG] FREE: 71 bytes at 0x40943504 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 1056] 
[14:34:27][DEBUG] ALLOC: 71 bytes at 0x40943504 (src\icon_management.c:617) [Current: 1127, Peak: 1245] 
[14:34:27][DEBUG] ALLOC: 22 bytes at 0x4094369c (src\icon_management.c:643) [Current: 1149, Peak: 1245] 
[14:34:27][DEBUG] ALLOC: 72 bytes at 0x40943804 (src\icon_types.c:714) [Current: 1221, Peak: 1245] 
[14:34:27][DEBUG] FREE: 72 bytes at 0x40943804 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 1149] 
[14:34:27][DEBUG] ALLOC: 72 bytes at 0x40943804 (src\icon_management.c:617) [Current: 1221, Peak: 1245] 
[14:34:27][DEBUG] ALLOC: 23 bytes at 0x4094399c (src\icon_management.c:643) [Current: 1244, Peak: 1245] 
[14:34:27][DEBUG] ALLOC: 68 bytes at 0x40943b04 (src\icon_types.c:714) [Current: 1312, Peak: 1312] 
[14:34:27][DEBUG] FREE: 68 bytes at 0x40943b04 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 1244] 
[14:34:27][DEBUG] ALLOC: 68 bytes at 0x40943b04 (src\icon_management.c:617) [Current: 1312, Peak: 1312] 
[14:34:27][DEBUG] ALLOC: 19 bytes at 0x40943c94 (src\icon_management.c:643) [Current: 1331, Peak: 1331] 
[14:34:27][DEBUG] ALLOC: 1152 bytes at 0x40943df4 (src\icon_management.c:92) [Current: 2483, Peak: 2483] 
[14:34:27][DEBUG] FREE: 576 bytes at 0x409430c4 (allocated src\icon_management.c:92, freed src\icon_management.c:104) [Current: 1907] 
[14:34:27][DEBUG] ALLOC: 63 bytes at 0x409430c4 (src\icon_types.c:714) [Current: 1970, Peak: 2483] 
[14:34:27][DEBUG] FREE: 63 bytes at 0x409430c4 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 1907] 
[14:34:27][DEBUG] ALLOC: 63 bytes at 0x409430c4 (src\icon_management.c:617) [Current: 1970, Peak: 2483] 
[14:34:27][DEBUG] ALLOC: 14 bytes at 0x40943254 (src\icon_management.c:643) [Current: 1984, Peak: 2483] 
[14:34:27][DEBUG] ALLOC: 64 bytes at 0x409443c4 (src\icon_types.c:714) [Current: 2048, Peak: 2483] 
[14:34:28][DEBUG] FREE: 64 bytes at 0x409443c4 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 1984] 
[14:34:28][DEBUG] ALLOC: 64 bytes at 0x409443c4 (src\icon_management.c:617) [Current: 2048, Peak: 2483] 
[14:34:28][DEBUG] ALLOC: 15 bytes at 0x40944554 (src\icon_management.c:643) [Current: 2063, Peak: 2483] 
[14:34:28][DEBUG] ALLOC: 72 bytes at 0x409446b4 (src\icon_types.c:714) [Current: 2135, Peak: 2483] 
[14:34:28][DEBUG] FREE: 72 bytes at 0x409446b4 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 2063] 
[14:34:28][DEBUG] ALLOC: 72 bytes at 0x409446b4 (src\icon_management.c:617) [Current: 2135, Peak: 2483] 
[14:34:28][DEBUG] ALLOC: 23 bytes at 0x4094484c (src\icon_management.c:643) [Current: 2158, Peak: 2483] 
[14:34:28][DEBUG] ALLOC: 61 bytes at 0x409449b4 (src\icon_types.c:714) [Current: 2219, Peak: 2483] 
[14:34:28][DEBUG] ALLOC: 19 bytes at 0x40944b44 (src\icon_types.c:752) [Current: 2238, Peak: 2483] 
[14:34:28][DEBUG] FREE: 61 bytes at 0x409449b4 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 2177] 
[14:34:28][DEBUG] ALLOC: 61 bytes at 0x409449b4 (src\icon_management.c:617) [Current: 2238, Peak: 2483] 
[14:34:28][DEBUG] ALLOC: 12 bytes at 0x40944ca4 (src\icon_management.c:643) [Current: 2250, Peak: 2483] 
[14:34:30][DEBUG] FREE: 23 bytes at 0x4094484c (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 2227] 
[14:34:30][DEBUG] FREE: 72 bytes at 0x409446b4 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 2155] 
[14:34:30][DEBUG] FREE: 10 bytes at 0x40942c8c (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 2145] 
[14:34:30][DEBUG] FREE: 59 bytes at 0x409426dc (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 2086] 
[14:34:30][DEBUG] FREE: 11 bytes at 0x40942f6c (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 2075] 
[14:34:30][DEBUG] FREE: 60 bytes at 0x40942de4 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 2015] 
[14:34:30][DEBUG] FREE: 11 bytes at 0x409420fc (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 2004] 
[14:34:30][DEBUG] FREE: 60 bytes at 0x40941f74 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 1944] 
[14:34:30][DEBUG] FREE: 25 bytes at 0x40942bb4 (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 1919] 
[14:34:30][DEBUG] FREE: 74 bytes at 0x40942a1c (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 1845] 
[14:34:30][DEBUG] FREE: 14 bytes at 0x409428bc (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 1831] 
[14:34:30][DEBUG] FREE: 63 bytes at 0x40942254 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 1768] 
[14:34:30][DEBUG] FREE: 23 bytes at 0x4094399c (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 1745] 
[14:34:30][DEBUG] FREE: 72 bytes at 0x40943804 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 1673] 
[14:34:30][DEBUG] FREE: 15 bytes at 0x40944554 (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 1658] 
[14:34:30][DEBUG] FREE: 64 bytes at 0x409443c4 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 1594] 
[14:34:30][DEBUG] FREE: 14 bytes at 0x40943254 (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 1580] 
[14:34:30][DEBUG] FREE: 63 bytes at 0x409430c4 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 1517] 
[14:34:30][DEBUG] FREE: 22 bytes at 0x4094369c (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 1495] 
[14:34:30][DEBUG] FREE: 71 bytes at 0x40943504 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 1424] 
[14:34:30][DEBUG] FREE: 19 bytes at 0x40943c94 (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 1405] 
[14:34:30][DEBUG] FREE: 68 bytes at 0x40943b04 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 1337] 
[14:34:30][DEBUG] FREE: 13 bytes at 0x4094257c (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 1324] 
[14:34:30][DEBUG] FREE: 62 bytes at 0x409423ec (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 1262] 
[14:34:30][DEBUG] FREE: 12 bytes at 0x40944ca4 (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 1250] 
[14:34:30][DEBUG] FREE: 61 bytes at 0x409449b4 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 1189] 
[14:34:30][DEBUG] FREE: 19 bytes at 0x40944b44 (allocated src\icon_types.c:752, freed src\icon_management.c:56) [Current: 1170] 
[14:34:30][DEBUG] FREE: 1152 bytes at 0x40943df4 (allocated src\icon_management.c:92, freed src\icon_management.c:59) [Current: 18] 
[14:34:30][DEBUG] FREE: 18 bytes at 0x40941e14 (allocated src\icon_management.c:67, freed src\icon_management.c:61) [Current: 0] 
[14:34:30][DEBUG] ALLOC: 18 bytes at 0x40941e14 (src\icon_management.c:67) [Current: 18, Peak: 2483] 
[14:34:30][DEBUG] ALLOC: 75 bytes at 0x40941f74 (src\icon_types.c:714) [Current: 93, Peak: 2483] 
[14:34:30][DEBUG] ALLOC: 22 bytes at 0x4094210c (src\icon_types.c:752) [Current: 115, Peak: 2483] 
[14:34:30][DEBUG] FREE: 75 bytes at 0x40941f74 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 40] 
[14:34:30][DEBUG] ALLOC: 75 bytes at 0x40941f74 (src\icon_management.c:617) [Current: 115, Peak: 2483] 
[14:34:30][DEBUG] ALLOC: 12 bytes at 0x40942274 (src\icon_management.c:643) [Current: 127, Peak: 2483] 
[14:34:30][DEBUG] ALLOC: 72 bytes at 0x409423cc (src\icon_management.c:92) [Current: 199, Peak: 2483] 
[14:34:30][DEBUG] ALLOC: 76 bytes at 0x40942564 (src\icon_types.c:714) [Current: 275, Peak: 2483] 
[14:34:30][DEBUG] FREE: 76 bytes at 0x40942564 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 199] 
[14:34:30][DEBUG] ALLOC: 76 bytes at 0x40942564 (src\icon_management.c:617) [Current: 275, Peak: 2483] 
[14:34:30][DEBUG] ALLOC: 13 bytes at 0x409426fc (src\icon_management.c:643) [Current: 288, Peak: 2483] 
[14:34:30][DEBUG] ALLOC: 144 bytes at 0x4094285c (src\icon_management.c:92) [Current: 432, Peak: 2483] 
[14:34:30][DEBUG] FREE: 72 bytes at 0x409423cc (allocated src\icon_management.c:92, freed src\icon_management.c:104) [Current: 360] 
[14:34:31][DEBUG] FREE: 12 bytes at 0x40942274 (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 348] 
[14:34:31][DEBUG] FREE: 75 bytes at 0x40941f74 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 273] 
[14:34:31][DEBUG] FREE: 22 bytes at 0x4094210c (allocated src\icon_types.c:752, freed src\icon_management.c:56) [Current: 251] 
[14:34:31][DEBUG] FREE: 13 bytes at 0x409426fc (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 238] 
[14:34:31][DEBUG] FREE: 76 bytes at 0x40942564 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 162] 
[14:34:31][DEBUG] FREE: 144 bytes at 0x4094285c (allocated src\icon_management.c:92, freed src\icon_management.c:59) [Current: 18] 
[14:34:31][DEBUG] FREE: 18 bytes at 0x40941e14 (allocated src\icon_management.c:67, freed src\icon_management.c:61) [Current: 0] 
[14:34:31][DEBUG] ALLOC: 18 bytes at 0x40941e14 (src\icon_management.c:67) [Current: 18, Peak: 2483] 
[14:34:31][DEBUG] ALLOC: 71 bytes at 0x40941f74 (src\icon_types.c:714) [Current: 89, Peak: 2483] 
[14:34:31][DEBUG] FREE: 71 bytes at 0x40941f74 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 18] 
[14:34:31][DEBUG] ALLOC: 71 bytes at 0x40941f74 (src\icon_management.c:617) [Current: 89, Peak: 2483] 
[14:34:31][DEBUG] ALLOC: 8 bytes at 0x4094210c (src\icon_management.c:643) [Current: 97, Peak: 2483] 
[14:34:31][DEBUG] ALLOC: 72 bytes at 0x40942264 (src\icon_management.c:92) [Current: 169, Peak: 2483] 
[14:34:31][DEBUG] ALLOC: 75 bytes at 0x409423fc (src\icon_types.c:714) [Current: 244, Peak: 2483] 
[14:34:31][DEBUG] FREE: 75 bytes at 0x409423fc (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 169] 
[14:34:31][DEBUG] ALLOC: 75 bytes at 0x409423fc (src\icon_management.c:617) [Current: 244, Peak: 2483] 
[14:34:31][DEBUG] ALLOC: 12 bytes at 0x40942594 (src\icon_management.c:643) [Current: 256, Peak: 2483] 
[14:34:31][DEBUG] ALLOC: 144 bytes at 0x409426ec (src\icon_management.c:92) [Current: 400, Peak: 2483] 
[14:34:31][DEBUG] FREE: 72 bytes at 0x40942264 (allocated src\icon_management.c:92, freed src\icon_management.c:104) [Current: 328] 
[14:34:32][DEBUG] ALLOC: 70 bytes at 0x40942264 (src\icon_types.c:714) [Current: 398, Peak: 2483] 
[14:34:32][DEBUG] FREE: 70 bytes at 0x40942264 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 328] 
[14:34:32][DEBUG] ALLOC: 70 bytes at 0x40942264 (src\icon_management.c:617) [Current: 398, Peak: 2483] 
[14:34:32][DEBUG] ALLOC: 7 bytes at 0x409428cc (src\icon_management.c:643) [Current: 405, Peak: 2483] 
[14:34:32][DEBUG] ALLOC: 288 bytes at 0x40942a24 (src\icon_management.c:92) [Current: 693, Peak: 2483] 
[14:34:32][DEBUG] FREE: 144 bytes at 0x409426ec (allocated src\icon_management.c:92, freed src\icon_management.c:104) [Current: 549] 
[14:34:33][DEBUG] FREE: 8 bytes at 0x4094210c (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 541] 
[14:34:33][DEBUG] FREE: 71 bytes at 0x40941f74 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 470] 
[14:34:33][DEBUG] FREE: 7 bytes at 0x409428cc (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 463] 
[14:34:33][DEBUG] FREE: 70 bytes at 0x40942264 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 393] 
[14:34:33][DEBUG] FREE: 12 bytes at 0x40942594 (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 381] 
[14:34:33][DEBUG] FREE: 75 bytes at 0x409423fc (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 306] 
[14:34:33][DEBUG] FREE: 288 bytes at 0x40942a24 (allocated src\icon_management.c:92, freed src\icon_management.c:59) [Current: 18] 
[14:34:33][DEBUG] FREE: 18 bytes at 0x40941e14 (allocated src\icon_management.c:67, freed src\icon_management.c:61) [Current: 0] 
[14:34:33][DEBUG] ALLOC: 18 bytes at 0x40941e14 (src\icon_management.c:67) [Current: 18, Peak: 2483] 
[14:34:33][DEBUG] FREE: 18 bytes at 0x40941e14 (allocated src\icon_management.c:67, freed src\icon_management.c:61) [Current: 0] 
[14:34:33][DEBUG] ALLOC: 18 bytes at 0x40941e14 (src\icon_management.c:67) [Current: 18, Peak: 2483] 
[14:34:33][DEBUG] FREE: 18 bytes at 0x40941e14 (allocated src\icon_management.c:67, freed src\icon_management.c:61) [Current: 0] 
[14:34:33][DEBUG] ALLOC: 18 bytes at 0x40941e14 (src\icon_management.c:67) [Current: 18, Peak: 2483] 
[14:34:33][DEBUG] FREE: 18 bytes at 0x40941e14 (allocated src\icon_management.c:67, freed src\icon_management.c:61) [Current: 0] 
[14:34:33][DEBUG] ALLOC: 18 bytes at 0x40941e14 (src\icon_management.c:67) [Current: 18, Peak: 2483] 
[14:34:33][DEBUG] ALLOC: 84 bytes at 0x40941f74 (src\icon_types.c:714) [Current: 102, Peak: 2483] 
[14:34:33][DEBUG] FREE: 84 bytes at 0x40941f74 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 18] 
[14:34:33][DEBUG] ALLOC: 84 bytes at 0x40941f74 (src\icon_management.c:617) [Current: 102, Peak: 2483] 
[14:34:33][DEBUG] ALLOC: 13 bytes at 0x40942114 (src\icon_management.c:643) [Current: 115, Peak: 2483] 
[14:34:33][DEBUG] ALLOC: 72 bytes at 0x40942274 (src\icon_management.c:92) [Current: 187, Peak: 2483] 
[14:34:33][DEBUG] ALLOC: 77 bytes at 0x4094240c (src\icon_types.c:714) [Current: 264, Peak: 2483] 
[14:34:33][DEBUG] FREE: 77 bytes at 0x4094240c (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 187] 
[14:34:33][DEBUG] ALLOC: 77 bytes at 0x4094240c (src\icon_management.c:617) [Current: 264, Peak: 2483] 
[14:34:33][DEBUG] ALLOC: 6 bytes at 0x409425ac (src\icon_management.c:643) [Current: 270, Peak: 2483] 
[14:34:33][DEBUG] ALLOC: 144 bytes at 0x40942704 (src\icon_management.c:92) [Current: 414, Peak: 2483] 
[14:34:33][DEBUG] FREE: 72 bytes at 0x40942274 (allocated src\icon_management.c:92, freed src\icon_management.c:104) [Current: 342] 
[14:34:35][DEBUG] FREE: 6 bytes at 0x409425ac (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 336] 
[14:34:35][DEBUG] FREE: 77 bytes at 0x4094240c (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 259] 
[14:34:35][DEBUG] FREE: 13 bytes at 0x40942114 (allocated src\icon_management.c:643, freed src\icon_management.c:48) [Current: 246] 
[14:34:35][DEBUG] FREE: 84 bytes at 0x40941f74 (allocated src\icon_management.c:617, freed src\icon_management.c:52) [Current: 162] 
[14:34:35][DEBUG] FREE: 144 bytes at 0x40942704 (allocated src\icon_management.c:92, freed src\icon_management.c:59) [Current: 18] 
[14:34:35][DEBUG] FREE: 18 bytes at 0x40941e14 (allocated src\icon_management.c:67, freed src\icon_management.c:61) [Current: 0] 
[14:34:35][DEBUG] ALLOC: 18 bytes at 0x40941e14 (src\icon_management.c:67) [Current: 18, Peak: 2483] 
[14:34:35][DEBUG] ALLOC: 88 bytes at 0x40941f74 (src\icon_types.c:714) [Current: 106, Peak: 2483] 
[14:34:35][DEBUG] FREE: 88 bytes at 0x40941f74 (allocated src\icon_types.c:714, freed src\icon_types.c:816) [Current: 18] 
[14:34:35][DEBUG] ALLOC: 88 bytes at 0x40941f74 (src\icon_management.c:617) [Current: 106, Peak: 2483] 
[14:34:35][DEBUG] ALLOC: 14 bytes at 0x4094211c (src\icon_management.c:643) [Current: 120, Peak: 2483] 
